ubiProv,ubiReg,DEPARTAMENTO,PROVINCIA,IDE,IDENTIDAD,SALUD,EDUCACION,SANEAMIENTO,ELECTRIFICACION,POBLACION,COSTA,CAPITAL,TAMANO
220500,220000,SAN MARTIN,Lamas,0.6051,96.557,6.3469,72.5867,61.5244,61.297,83825,NO,NO,2
220600,220000,SAN MARTIN,Mariscal Caceres,0.6922,96.0263,9.981,85.2023,75.5526,72.7025,51489,NO,NO,2
220700,220000,SAN MARTIN,Picota,0.6884,96.1658,7.8023,82.3184,73.9773,78.7176,42369,NO,NO,1
220800,220000,SAN MARTIN,Rioja,0.6672,95.4084,10.3815,83.083,58.2882,79.4966,120387,NO,NO,3
220900,220000,SAN MARTIN,San Martin,0.8285,98.3258,21.3298,99.5,85.3935,95.5041,179184,NO,NO,3
221000,220000,SAN MARTIN,Tocache,0.6456,94.9457,10.5095,92.4323,43.6077,74.3133,73460,NO,NO,2
230100,230000,TACNA,Tacna,0.9104,99.4928,44.7413,90.0518,95.8766,95.2144,302852,SI,SI,4
230200,230000,TACNA,Candarave,0.6521,99.5,7.1132,90.0467,40.1112,84.534,8435,NO,NO,1
230300,230000,TACNA,Jorge Basadre,0.8487,99.5,30.0799,97.3276,83.9754,93.4183,9641,SI,NO,1
230400,230000,TACNA,Tarata,0.7414,99.3157,22.5366,90.173,68.7254,74.9025,7987,NO,NO,1
240100,240000,TUMBES,Tumbes,0.7622,99.1184,18.382,86.2661,77.6778,87.4196,159548,NO,SI,3
240200,240000,TUMBES,Contralmirante Villar,0.6659,99.1872,6.6236,81.4642,59.7919,81.4494,19180,NO,NO,1
240300,240000,TUMBES,Zarumilla,0.6849,97.4754,6.9758,81.2087,71.0227,81.1197,49499,NO,NO,1
250100,250000,UCAYALI,Coronel Portillo,0.667,97.5922,12.5195,85.4286,42.8511,86.7715,366040,NO,SI,4
250200,250000,UCAYALI,Atalaya,0.4245,84.2895,4.5206,55.4652,13.2425,51.7253,50569,NO,NO,2
250300,250000,UCAYALI,Padre Abad,0.5023,97.3087,4.4984,73.2013,13.243,59.8946,56756,NO,NO,2
250400,250000,UCAYALI,Purus,0.4473,91.9667,15.9542,51.3878,0.2351,53.4704,4251,NO,NO,1
